event_id,topic,article_id_1,article_id_2,outlet_1,outlet_2,frame_1,frame_2,pair_type,is_cross_frame,S_raw,L_raw,E_raw,M_raw,C_raw,S_z,L_z,E_z,M_z,C_z,E_n_shared
pol_005,political conflict,art_143,art_150,BBC,Straits Times,people-centric,state-centric,cross_frame,1,0.09389999999999998,0.25,0.01885416666666667,0.1243065595626831,0.7818181818181819,-0.4032009526640966,-0.47947404771306845,-0.8352512630612062,-1.3537123070638053,-0.9037790792815618,24
pol_005,political conflict,art_143,art_151,BBC,News24,people-centric,neutral,cross_frame,1,0.06026666666666667,0.08329999999999999,0.024,0.2376236915588379,0.8333333333333334,-0.7498868132488193,-0.8587537404108622,-0.7069924614350074,-0.3824946459731015,-0.23475707460045636,15
pol_005,political conflict,art_144,art_145,Reuters,RT News,state-centric,neutral,cross_frame,1,0.07060000000000001,0.7273000000000001,0.038690476190476185,0.34511667490005493,0.8426966292134832,-0.6433728223853266,0.6064899434366434,-0.34083546616206467,0.538805443653782,-0.11315690851499408,14
pol_005,political conflict,art_144,art_146,Reuters,Al Jazeera,state-centric,state-centric,within_frame,0,0.062133333333333325,0.5,0.041959064327485376,0.20467746257781982,0.8041237113402062,-0.7306455761896079,0.08933173017804394,-0.2593666018778718,-0.6648699487101044,-0.6140994483887121,19
pol_005,political conflict,art_144,art_147,Reuters,The Guardian,state-centric,neutral,cross_frame,1,0.03523333333333331,1.5,0.07954545454545456,0.23642152547836304,0.8804347826086957,-1.0079255459536034,2.3645548417424935,0.6774661819559255,-0.39279816238190884,0.37694463044684573,11
pol_005,political conflict,art_144,art_148,Reuters,Le Monde,state-centric,state-centric,within_frame,0,0.05036666666666665,0.8333,0.035,0.3078418970108032,0.875,-0.8519340883664238,0.8476635932624751,-0.4328198004688815,0.21933104502089945,0.30636366447984903,15
pol_005,political conflict,art_144,art_149,Reuters,The Hindu,state-centric,state-centric,within_frame,0,0.05053333333333335,1.0,0.07884615384615386,0.308014452457428,0.8555555555555556,-0.850216120771851,1.2269432859602687,0.6600362607247668,0.22080998200357074,0.053840652909040505,13
pol_005,political conflict,art_144,art_150,Reuters,Straits Times,state-centric,state-centric,within_frame,0,0.044933333333333346,0.5,0.016346153846153847,0.18701982498168945,0.8976377952755905,-0.9079398319494857,0.08933173017804394,-0.897762949310039,-0.8162099022052471,0.6003583967360776,13
pol_005,political conflict,art_144,art_151,Reuters,News24,state-centric,neutral,cross_frame,1,0.044633333333333323,0.6667000000000001,0.019444444444444445,0.23065751791000366,0.9117647058823529,-0.9110321736197163,0.46861142287583785,-0.8205387149664332,-0.4422002770528049,0.7838231401389422,9
pol_005,political conflict,art_145,art_146,RT News,Al Jazeera,neutral,state-centric,cross_frame,1,0.052733333333333306,0.2273,0.0587962962962963,0.32116377353668213,0.8736842105263158,-0.827538948523495,-0.5311216123455814,0.16029782468511103,0.33351008867373655,0.2892756411404716,12
pol_005,political conflict,art_145,art_147,RT News,The Guardian,neutral,neutral,within_frame,0,0.05536666666666665,0.7726999999999999,0.08974358974358974,0.35304975509643555,0.8395061728395061,-0.8003950605292499,0.7097850727016691,0.9316525332436557,0.6067982304270584,-0.15459103918115288,13
pol_005,political conflict,art_145,art_148,RT News,Le Monde,neutral,state-centric,cross_frame,1,0.0402333333333333,0.10600000000000001,0.045454545454545456,0.45673930644989014,0.7884615384615384,-0.9563865181164296,-0.8071061757783492,-0.17224247806305956,1.4954998924887475,-0.8175024859177096,22
pol_005,political conflict,art_145,art_149,RT News,The Hindu,neutral,state-centric,cross_frame,1,0.054466666666666684,0.2727,0.06470588235294118,0.4868205785751343,0.7792207792207793,-0.8096720855399407,-0.42782648308055543,0.30759300053589667,1.7533202435818547,-0.9375112811982561,17
pol_005,political conflict,art_145,art_150,RT News,Straits Times,neutral,state-centric,cross_frame,1,0.042199999999999994,0.2273,0.05922619047619048,0.30996328592300415,0.8803418803418803,-0.9361145005004744,-0.5311216123455814,0.1710128457065145,0.2375130298741823,0.3757381182080931,14
pol_005,political conflict,art_145,art_151,RT News,News24,neutral,neutral,within_frame,0,0.10189999999999999,0.06059999999999999,0.058333333333333334,0.4201950430870056,0.9148936170212766,-0.3207385081246184,-0.9104013050433752,0.14875857127744577,1.1822865825120374,0.8244579891312055,8
pol_005,political conflict,art_146,art_147,Al Jazeera,The Guardian,state-centric,neutral,cross_frame,1,0.06403333333333334,1.0,0.05793650793650793,0.26137828826904297,0.8494623655913979,-0.7110607456114816,1.2269432859602687,0.138867782642304,-0.17889891909023997,-0.02529098205324138,14
pol_005,political conflict,art_146,art_148,Al Jazeera,Le Monde,state-centric,state-centric,within_frame,0,0.01250000000000001,0.33330000000000004,0.04228395061728395,0.3479939103126526,0.8512396694214877,-1.2422563258532868,-0.2899479625197497,-0.25126888018828214,0.5634656322643203,-0.002209318962638785,18
pol_005,political conflict,art_146,art_149,Al Jazeera,The Hindu,state-centric,state-centric,within_frame,0,0.041733333333333324,0.5,0.06623931623931624,0.3446422219276428,0.8617021276595744,-0.9409248097652773,0.08933173017804394,0.34581351408526734,0.5347390055252627,0.1336655562627297,13
pol_005,political conflict,art_146,art_150,Al Jazeera,Straits Times,state-centric,state-centric,within_frame,0,0.02946666666666665,0.0,0.021319444444444446,0.08729428052902222,0.8387096774193549,-1.0673672247258106,-1.0482798256041808,-0.773804738665389,-1.6709368823904065,-0.1649350437513847,20
pol_005,political conflict,art_146,art_151,Al Jazeera,News24,state-centric,neutral,cross_frame,1,0.049166666666666685,0.16670000000000001,0.021717171717171718,0.2805464267730713,0.8942307692307693,-0.8643034550473451,-0.669000132906387,-0.7638914709651675,-0.014612775261813725,0.5561116979015291,11
pol_005,political conflict,art_147,art_148,The Guardian,Le Monde,neutral,state-centric,cross_frame,1,0.05153333333333334,0.6667,0.08571428571428573,0.32022756338119507,0.875,-0.8399083152044162,0.46861142287583757,0.831222987102218,0.3254860253967701,0.30636366447984903,14
pol_005,political conflict,art_147,art_149,The Guardian,The Hindu,neutral,state-centric,cross_frame,1,0.08576666666666666,0.5,0.12,0.43051135540008545,0.9438202247191011,-0.4870377712792327,0.08933173017804394,1.6857871251784537,1.270705557995203,1.2001248852079942,5
pol_005,political conflict,art_147,art_150,The Guardian,Straits Times,neutral,state-centric,cross_frame,1,0.07349999999999998,1.0,0.08455882352941177,0.2510426640510559,0.8508771929824561,-0.6134801862397661,1.2269432859602687,0.8024233378410701,-0.2674834129092898,-0.00691676340874937,17
pol_005,political conflict,art_147,art_151,The Guardian,News24,neutral,neutral,within_frame,0,0.04653333333333335,0.8332999999999999,0.08076923076923077,0.21368592977523804,0.8539325842696629,-0.8914473430415901,0.8476635932624748,0.707968544110453,-0.5876602427515585,0.03276329078755923,13
pol_005,political conflict,art_148,art_149,Le Monde,The Hindu,state-centric,state-centric,within_frame,0,0.03423333333333332,0.1667,0.0875,0.24237674474716187,0.8545454545454545,-1.0182333515210382,-0.6690001329063872,0.8757315359603548,-0.3417572118421321,0.040722574385880055,16
pol_005,political conflict,art_148,art_150,Le Monde,Straits Times,state-centric,state-centric,within_frame,0,0.021966666666666645,0.33330000000000004,0.025735294117647058,0.34778493642807007,0.8835616438356164,-1.1446757664815714,-0.2899479625197497,-0.6637406245446292,0.5616745603951508,0.4175528574415554,17
pol_005,political conflict,art_148,art_151,Le Monde,News24,state-centric,neutral,cross_frame,1,0.061666666666666696,0.1666,0.05909090909090908,0.343284547328949,0.9105691056910569,-0.7354558854544103,-0.6692276552175436,0.1676409859445341,0.5231026578253364,0.7682960027191339,11
pol_005,political conflict,art_149,art_150,The Hindu,Straits Times,state-centric,state-centric,within_frame,0,0.012266666666666676,0.5,0.08645833333333335,0.36133015155792236,0.8991596638655462,-1.2446614804856884,0.08933173017804394,0.8497682157931085,0.677767792950948,0.6201227484843964,12
pol_005,political conflict,art_149,art_151,The Hindu,News24,state-centric,neutral,cross_frame,1,0.07410000000000001,0.3333,0.09375,0.44001060724258423,0.9148936170212766,-0.6072955028993049,-0.2899479625197498,1.0315114569638355,1.352121677465084,0.8244579891312055,8
pol_005,political conflict,art_150,art_151,Straits Times,News24,state-centric,neutral,cross_frame,1,0.06636666666666667,0.16670000000000001,0.030902777777777786,0.25499218702316284,0.6504854368932038,-0.6870091992874672,-0.669000132906387,-0.5349421931267186,-0.23363286978467326,-2.6093840072635475,36
pol_006,political conflict,art_152,art_153,Fox News,Xinhua,neutral,people-centric,cross_frame,1,0.1053,0.6,0.035964912280701755,0.202131986618042,0.8403361344537815,-0.28569196919534,0.31685404133448886,-0.40876956705080036,-0.6866866957850474,-0.14381241257015318,19
pol_006,political conflict,art_152,art_154,Fox News,France 24,neutral,state-centric,cross_frame,1,0.09076666666666666,0.4,0.04935897435897436,0.2646356225013733,0.8311688311688312,-0.4354987434420588,-0.13819058097840095,-0.07492541785575713,-0.15098098224533385,-0.26286724286436813,26
pol_006,political conflict,art_152,art_155,Fox News,BBC,neutral,people-centric,cross_frame,1,0.11876666666666669,0.35,0.06057471264367817,0.2045155167579651,0.8079470198675497,-0.1468801875538849,-0.25195173655662356,0.20462447398214242,-0.6662579527798516,-0.5644465315235568,29
pol_006,political conflict,art_152,art_156,Fox News,CNN,neutral,neutral,within_frame,0,0.10453333333333337,0.19999999999999996,0.11550724637681162,0.3874559998512268,0.8525641025641025,-0.293594620130373,-0.593235203291291,1.5738061964571117,0.9016870258723628,0.014990958821222373,23
pol_006,political conflict,art_152,art_157,Fox News,RT News,neutral,state-centric,cross_frame,1,0.09250000000000003,0.2667,0.08333333333333334,0.21736562252044678,0.8507462686567164,-0.41763188045850486,-0.44147782174994216,0.7718782552913681,-0.556122358597772,-0.008617064238537808,20
pol_006,political conflict,art_152,art_158,Fox News,Al Jazeera,neutral,neutral,within_frame,0,0.08363333333333335,0.6,0.026455026455026457,0.17512166500091553,0.8609271523178808,-0.50902775648976,0.31685404133448886,-0.6458014490789311,-0.918186566318158,0.12360103075073851,21
pol_006,political conflict,art_152,art_159,Fox News,The Guardian,neutral,neutral,within_frame,0,0.12259999999999999,0.09999999999999998,0.05555555555555557,0.31978100538253784,0.8125,-0.10736693287871861,-0.8207575144477359,0.07952305083145485,0.32165866930897274,-0.5053174441406098,30
pol_006,political conflict,art_152,art_160,Fox News,South China Morning Post,neutral,people-centric,cross_frame,1,0.08910000000000001,0.6,0.06354166666666668,0.18047058582305908,0.8632478632478633,-0.45267841938778325,0.31685404133448886,0.27857517211367977,-0.872342074150655,0.153739866277712,16
pol_006,political conflict,art_152,art_161,Fox News,News24,neutral,people-centric,cross_frame,1,0.0835333333333333,0.0,0.043333333333333335,0.46076101064682007,0.8974358974358975,-0.510058537046504,-1.0482798256041808,-0.2251132391309075,1.5299690859366852,0.5977363701384757,16
pol_006,political conflict,art_152,art_162,Fox News,Straits Times,neutral,people-centric,cross_frame,1,0.10013333333333334,0.3273,0.04345238095238096,0.20632845163345337,0.8238993710691824,-0.33894896462708635,-0.30359930118913653,-0.22214600254036493,-0.6507196635691677,-0.35727497778845013,28
pol_006,political conflict,art_152,art_163,Fox News,The Hindu,neutral,neutral,within_frame,0,0.03230000000000001,0.4,0.048275862068965524,0.22225826978683472,0.7456140350877193,-1.0381617756180783,-0.13819058097840095,-0.10192176137183312,-0.5141884925450699,-1.3739586305589957,29
pol_006,political conflict,art_152,art_164,Fox News,Reuters,neutral,neutral,within_frame,0,0.1054,0.4,0.03240740740740741,0.2437300682067871,0.8666666666666667,-0.28466118863859663,-0.13819058097840095,-0.4974396195518067,-0.33015815685368594,0.19813951666378823,18
pol_006,political conflict,art_153,art_154,Xinhua,France 24,people-centric,state-centric,cross_frame,1,0.05213333333333336,1.0,0.03214285714285714,0.28197234869003296,0.875,-0.8337236318639552,1.2269432859602687,-0.5040334786419014,-0.0023914939366167613,0.30636366447984903,14
pol_006,political conflict,art_153,art_155,Xinhua,BBC,people-centric,people-centric,within_frame,0,0.013466666666666682,0.25,0.039607843137254906,0.23000478744506836,0.8440366972477065,-1.2322921138047667,-0.47947404771306845,-0.3179702900820017,-0.4477946946338872,-0.09575358199267124,17
pol_006,political conflict,art_153,art_156,Xinhua,CNN,people-centric,neutral,cross_frame,1,0.07650000000000001,0.4,0.10458333333333333,0.46407580375671387,0.8532110091743119,-0.5825567695374614,-0.13819058097840095,1.3015299867032017,1.5583794909167539,0.02339226881400089,16
pol_006,political conflict,art_153,art_157,Xinhua,RT News,people-centric,state-centric,cross_frame,1,0.06446666666666667,0.3333,0.10357142857142858,0.27776384353637695,0.8372093023255813,-0.7065940298655933,-0.2899479625197498,1.2763084756835907,-0.03846171968289365,-0.18442026166275485,14
pol_006,political conflict,art_153,art_158,Xinhua,Al Jazeera,people-centric,neutral,cross_frame,1,0.055000000000000014,0.0,0.025000000000000005,0.19379258155822754,0.8867924528301887,-0.8041745892373089,-1.0482798256041808,-0.6820676740744503,-0.7581620087796951,0.45951104346484156,12
pol_006,political conflict,art_153,art_159,Xinhua,The Guardian,people-centric,neutral,cross_frame,1,0.04269999999999999,0.5,0.045454545454545456,0.3708999752998352,0.912,-0.930960597716757,0.08933173017804394,-0.17224247806305956,0.7597887695494933,0.786878880783161,11
pol_006,political conflict,art_153,art_160,Xinhua,South China Morning Post,people-centric,people-centric,within_frame,0,0.06106666666666668,0.0,0.08,0.20049846172332764,0.9324324324324325,-0.7416405687948713,-1.0482798256041808,0.6887956307561783,-0.7006872992210023,1.052232791320271,5
pol_006,political conflict,art_153,art_161,Xinhua,News24,people-centric,people-centric,within_frame,0,0.1484333333333333,0.6,0.0036363636363636364,0.5389607846736908,0.897196261682243,0.15891804428001288,0.31685404133448886,-1.2145517676863475,2.2002031475503885,0.5946242451114137,11
pol_006,political conflict,art_153,art_162,Xinhua,Straits Times,people-centric,people-centric,within_frame,0,0.10516666666666669,0.2727,0.04523809523809524,0.22906804084777832,0.8823529411764706,-0.28706634327099784,-0.42782648308055543,-0.1776374536822278,-0.455823355642406,0.40185555961166736,14
pol_006,political conflict,art_153,art_163,Xinhua,The Hindu,people-centric,neutral,cross_frame,1,0.08633333333333333,1.0,0.038095238095238106,0.16977828741073608,0.8133333333333334,-0.4811966814576863,1.2269432859602687,-0.35567164911477667,-0.9639835485929535,-0.4944950293590034,14
pol_006,political conflict,art_153,art_164,Xinhua,Reuters,people-centric,neutral,cross_frame,1,0.13343333333333332,1.0,0.0,0.2838016748428345,0.9120879120879121,0.004300960768491437,1.2269432859602687,-1.3051873580883726,0.013287281515944372,0.7880205860788023,8
pol_006,political conflict,art_154,art_155,France 24,BBC,state-centric,people-centric,cross_frame,1,0.045333333333333344,0.75,0.05777777777777778,0.20420724153518677,0.7555555555555555,-0.9038167097225119,0.6581375080691563,0.1349114671882476,-0.6689001158452663,-1.2448491208836947,33
pol_006,political conflict,art_154,art_156,France 24,CNN,state-centric,neutral,cross_frame,1,0.10863333333333336,0.6,0.05787878787878789,0.2642821669578552,0.8482758620689655,-0.25133261730389056,0.31685404133448886,0.1374291224771929,-0.1540103764792685,-0.040699981964760566,22
pol_006,political conflict,art_154,art_157,France 24,RT News,state-centric,state-centric,within_frame,0,0.09660000000000002,0.6667000000000001,0.07000000000000002,0.17532861232757568,0.8360655737704918,-0.3753698776320224,0.46861142287583785,0.43954775715060995,-0.9164128636570752,-0.1992737474476494,20
pol_006,political conflict,art_154,art_158,France 24,Al Jazeera,state-centric,neutral,cross_frame,1,0.08713333333333335,1.0,0.03888888888888888,0.2687472701072693,0.8571428571428572,-0.47295043700373823,1.2269432859602687,-0.3358900718444939,-0.1157409024737861,0.0744547763025759,20
pol_006,political conflict,art_154,art_159,France 24,The Guardian,state-centric,neutral,cross_frame,1,0.07483333333333332,0.5,0.06794871794871796,0.22064483165740967,0.8289473684210527,-0.5997364454831863,0.08933173017804394,0.3884199882058776,-0.5280169364773425,-0.2917171523983835,26
pol_006,political conflict,art_154,art_160,France 24,South China Morning Post,state-centric,people-centric,cross_frame,1,0.09320000000000002,1.0,0.07058823529411765,0.15936368703842163,0.8365384615384616,-0.4104164165613006,1.2269432859602687,0.4542093967744664,-1.053244930668321,-0.1931324023635099,17
pol_006,political conflict,art_154,art_161,France 24,News24,state-centric,people-centric,cross_frame,1,0.11389999999999996,0.4,0.02666666666666667,0.4504714012145996,0.896551724137931,-0.19704484131540143,-0.13819058097840095,-0.6405263618068556,1.4417789753130146,0.5862537019351798,15
pol_006,political conflict,art_154,art_162,France 24,Straits Times,state-centric,people-centric,cross_frame,1,0.07063333333333333,0.7273000000000001,0.027380952380952377,0.11769348382949829,0.8095238095238095,-0.6430292288664122,0.6064899434366434,-0.6227229422636008,-1.4103916090639423,-0.5439689255034886,28
pol_006,political conflict,art_154,art_163,France 24,The Hindu,state-centric,neutral,cross_frame,1,0.0718,0.0,0.036458333333333336,0.22513067722320557,0.8608695652173913,-0.631003455704405,-1.0482798256041808,-0.39647115223473606,-0.4895696835185027,0.12285315296565867,16
pol_006,political conflict,art_154,art_164,France 24,Reuters,state-centric,neutral,cross_frame,1,0.09869999999999997,0.0,0.030555555555555558,0.21974599361419678,0.8536585365853658,-0.35372348594040987,-1.0482798256041808,-0.5435966331824678,-0.5357206911228288,0.029204261536277473,18
pol_006,political conflict,art_155,art_156,BBC,CNN,people-centric,neutral,cross_frame,1,0.06330000000000001,0.15000000000000002,0.08636363636363635,0.43211835622787476,0.7537313432835822,-0.7186198030276004,-0.7069963588695133,0.8474079139597218,1.2844788291488471,-1.268539979112085,33
pol_006,political conflict,art_155,art_157,BBC,RT News,people-centric,state-centric,cross_frame,1,0.05126666666666666,0.08329999999999999,0.07906666666666667,0.24685519933700562,0.7863247863247863,-0.8426570633557324,-0.8587537404108622,0.6655324958863253,-0.30337330540690244,-0.8452522674090073,25
pol_006,political conflict,art_155,art_158,BBC,Al Jazeera,people-centric,neutral,cross_frame,1,0.041800000000000004,0.25,0.06581196581196581,0.16725099086761475,0.8059701492537313,-0.9402376227274482,-0.47947404771306845,0.33516189555511483,-0.9856444836541781,-0.5901199480263294,26
pol_006,political conflict,art_155,art_159,BBC,The Guardian,people-centric,neutral,cross_frame,1,0.02949999999999998,0.25,0.06095238095238096,0.3381090760231018,0.8133333333333334,-1.0670236312068961,-0.47947404771306845,0.21403777626938064,0.4787447655264252,-0.4944950293590034,28
pol_006,political conflict,art_155,art_160,BBC,South China Morning Post,people-centric,people-centric,within_frame,0,0.04786666666666667,0.25,0.06000000000000001,0.18570983409881592,0.79,-0.8777036022850105,-0.47947404771306845,0.19029988354504085,-0.827437562656076,-0.7975226432439745,21
pol_006,political conflict,art_155,art_161,BBC,News24,people-centric,people-centric,within_frame,0,0.13523333333333332,0.35,0.03777777777777778,0.5113881528377533,0.8489208633093526,0.022855010789873988,-0.25195173655662356,-0.3635842800228902,1.9638838326322965,-0.03232341681501802,21
pol_006,political conflict,art_155,art_162,BBC,Straits Times,people-centric,people-centric,within_frame,0,0.09196666666666668,0.022699999999999998,0.05904761904761905,0.14055144786834717,0.75,-0.4231293767611369,-0.9966322609716678,0.16656199082070075,-1.2144807350412963,-1.3169985527610686,35
pol_006,political conflict,art_155,art_163,BBC,The Hindu,people-centric,neutral,cross_frame,1,0.09980000000000001,0.75,0.04851851851851852,0.1580827236175537,0.8407079646017699,-0.34238489981623116,0.6581375080691563,-0.0958736009650569,-1.0642238027562618,-0.13898349246234995,18
pol_006,political conflict,art_155,art_164,BBC,Reuters,people-centric,neutral,cross_frame,1,0.12003333333333331,0.75,0.05037037037037037,0.249883234500885,0.8536585365853658,-0.13382363383513463,0.6581375080691563,-0.04971658733439611,-0.27742064337109357,0.029204261536277473,18
pol_006,political conflict,art_156,art_157,CNN,RT News,neutral,state-centric,cross_frame,1,0.01203333333333334,0.06670000000000004,0.11393939393939397,0.25805747509002686,0.8151260504201681,-1.24706663511809,-0.896522444062832,1.5347278078417461,-0.207360920835507,-0.4712131958792461,22
pol_006,political conflict,art_156,art_158,CNN,Al Jazeera,neutral,neutral,within_frame,0,0.021500000000000005,0.4,0.08142857142857143,0.3938029408454895,0.8478260869565217,-1.149486075746374,-0.13819058097840095,0.7244024698426883,0.9560853421634748,-0.046541165355133196,21
pol_006,political conflict,art_156,art_159,CNN,The Guardian,neutral,neutral,within_frame,0,0.047133333333333305,0.09999999999999998,0.1034567901234568,0.25034022331237793,0.8200000000000001,-0.8852626597011296,-0.8207575144477359,1.2734511367445498,-0.2735038869475562,-0.40791571110615393,27
pol_006,political conflict,art_156,art_160,CNN,South China Morning Post,neutral,people-centric,cross_frame,1,0.01543333333333334,0.4,0.08083333333333334,0.2876114249229431,0.8461538461538461,-1.2120200961888117,-0.13819058097840095,0.7095662868899759,0.045939860141644084,-0.06825838565267053,16
pol_006,political conflict,art_156,art_161,CNN,News24,neutral,people-centric,cross_frame,1,0.14139999999999997,0.19999999999999996,0.09740740740740743,0.37405920028686523,0.8723404255319149,0.08641981178905496,-0.593235203291291,1.1226715588843914,0.7868658323793815,0.2718240428364257,18
pol_006,political conflict,art_156,art_162,CNN,Straits Times,neutral,people-centric,cross_frame,1,0.09133333333333334,0.12730000000000002,0.11919540229885058,0.2780735492706299,0.8,-0.42965765362051234,-0.7586439235020264,1.6657326985665115,-0.03580729600000591,-0.667653665864701,29
pol_006,political conflict,art_156,art_163,CNN,The Hindu,neutral,neutral,within_frame,0,0.13683333333333336,0.6,0.1004761904761905,0.40527504682540894,0.8793103448275862,0.0393474996977701,0.31685404133448886,1.1991603243294864,1.0544103857057003,0.3623416719709149,14
pol_006,political conflict,art_156,art_164,CNN,Reuters,neutral,neutral,within_frame,0,0.16326666666666664,0.6,0.10687500000000001,0.27525556087493896,0.8709677419354839,0.31181716019696204,0.31685404133448886,1.358649291071145,-0.059959690703540666,0.25399714134304524,16
pol_006,political conflict,art_157,art_158,RT News,Al Jazeera,state-centric,neutral,cross_frame,1,0.009466666666666665,0.3333,0.08854166666666669,0.25499868392944336,0.864406779661017,-1.2735233360745057,-0.2899479625197498,0.9016948561276021,-0.23357718614698372,0.16879059522214448,16
